obs_id,length_obs_s,sex,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
C11V1005,57.830,male,0.493,1,2.995,1.246,0,0,0,0,0.748,11.580,45.243,0
C11V1006,57.830,male,0,0,1.717,0,0,0,0,2.496,9.988,13.650,31.207,1
C11V1007,66.090,male,1.750,1,11.169,0,0,0,0,10.498,3.991,32.497,18.820,0
C11V1008,57.830,male,6.247,2,14.750,0,0,0,0,0,4.498,18.181,34.890,0
C11V1009,57.830,male,0,0,3.005,1.248,0,0,1.498,3.154,18.550,2.399,31.986,0
C11V1010,9.780,male,0,0,3.308,0,0,0,0,0,1.650,0,7.721,0
C11V2000,66.160,male,1.500,1,1.248,0,0,32.903,32.862,0,0,0,0,0
C11V2001,57.830,male,0,0,0,0,0,41.712,15.656,0,0,0,0,0
C11V2002,57.830,male,0.500,1,35.924,0,0,0,0,0.749,1.651,40.182,14.992,0
C11V2003,66.090,male,0,0,7.497,0,0,30.900,6.499,11.744,0.249,12.172,4.247,0
C11V2004,57.830,male,0,0,18.970,0,0,5.997,0,15.490,0,25.357,10.501,0
C11V2005,57.830,male,0,0,8.423,0,0,6.247,21.927,5.743,2.502,10.399,10.748,0
C11V2006,57.830,male,0,0,22.668,0,0,0,36.149,0,12.743,0,8.683,0
C11V2007,66.090,male,2.247,2,7.752,0,0,6.785,52.645,0,4.750,0,1.402,0
C11V2008,57.830,male,0,0,5.495,0,0,12.218,6.750,10.348,0.997,24.997,1.498,0
C11V2009,57.830,male,1.496,2,4.931,0,0,28.406,3.497,18.227,0.750,6.466,0,0
C11V2010,16.160,male,1.249,1,7.752,0,0,0,0,3.171,0,12.042,0.498,0
C12V1000,66.730,male,1.002,1,1.842,0,0,4.496,28.714,5.252,20.897,0,6.996,0
C12V1001,58.330,male,0,0,2.178,0,0,12.689,45.395,0,0,0,0,0
C12V1002,58.330,male,0,0,11.745,0,0,2.749,38.323,3.749,8.500,4.747,0,0
C12V1003,58.330,male,0,0,2.427,0,0,0,47.763,0,6.549,0,3.751,0
C12V1004,58.330,male,0,0,0.253,4.249,0,27.668,9.496,5.243,6.397,0,9.252,0
C12V1005,66.670,male,1.752,2,22.003,0,0,36.652,5.245,15.743,2.108,5.494,0.997,0
C12V1006,58.330,male,0.502,1,13.989,0,0,2.993,24.864,4.250,15.493,1.496,8.748,0
C12V1007,58.330,male,0,0,3.925,2.252,0,0,35.330,0,12.734,0,9.999,0
C12V1008,58.330,male,2.746,2,26.489,0,0,0,54.823,0,3.245,0,0,0
C12V1009,58.330,male,8.991,4,23.252,0,0,0,46.072,0,7.247,0,4.751,0
C12V1010,14.870,male,0,0,1.000,0,0,3.155,0,1.247,8.866,0,1.250,0
C12V2000,66.730,male,0,0,10.739,0.667,0,7.898,18.240,7.242,14.505,2.001,16.368,0
